Id,F1,F2,F3,F4,F5,F6,F7,F8,F9,Class
0,-0.165479236,-3.530987236,-0.486079236,-1.641139236,-0.171669236,-0.474645236,-0.499742236,0.201720764,-0.362543236,A
1,-0.118242902,-0.486754902,-0.250457902,0.020997098,-0.044739902,-0.170818902,-0.043216902,0.124800098,-0.224706902,A
2,-0.090792786,0.300332214,-0.193651786,0.644209214,-0.465127786,-0.509065786,0.146256214,0.119655214,-0.337501786,F
3,0.855653053,0.072248053,-0.119170947,0.758576053,-0.344583947,1.607243053,0.641336053,-1.130139947,0.519987053,I
4,-0.349143738,0.238015262,0.124580262,0.637305262,2.011531262,2.168204262,1.847134262,0.701281262,1.461951262,K
5,0.216438392,0.311518392,-0.011080608,-0.568451608,0.808433392,-0.585136608,-1.551215608,0.936455392,0.337788392,F
6,0.376884391,0.618415391,0.402914391,0.705778391,-0.431757609,0.677716391,0.713133391,0.213422391,-0.151893609,H
7,0.28218281,0.41971481,-0.27181619,0.14064781,2.72373781,-0.70455019,-0.84310519,0.25078581,2.37398881,F
8,-0.732779254,-0.290397254,-0.743649254,-1.194967254,-0.696359254,-2.673094254,-2.480756254,-0.032295254,-0.841399254,A
9,-0.071120354,0.271664646,-0.221174354,-0.169367354,0.004603646,0.086148646,0.036002646,-0.071236354,0.103132646,A
10,0.043659358,0.260296358,0.195308358,-0.394046642,-0.557358642,0.219765358,1.174774358,0.446453358,-0.614361642,G
11,-0.021557655,0.595502345,-0.176016655,0.940999345,0.422260345,1.325169345,0.256422345,-1.182468655,1.393245345,L
12,-0.660263612,0.264339388,-0.623938612,1.360872388,0.919290388,1.407556388,0.661255388,-1.447983612,1.804601388,K
13,0.194020801,-0.183469199,-0.163522199,0.061600801,-0.506883199,0.768992801,0.528241801,0.168497801,-0.330599199,A
14,0.418973913,0.581210913,-0.167432087,0.491353913,1.434067913,-0.021412087,-0.309604087,1.075114913,0.978054913,A
15,0.013241057,0.030719057,-0.109900943,0.534441057,-0.006428943,-0.964366943,-0.768196943,0.453785057,-0.162405943,A
16,0.12027945,0.09067745,-0.28668355,-0.61139855,-0.13506055,0.21647245,0.35572345,0.18547645,-0.12218355,A
17,-0.021741278,0.228162722,-0.059611278,0.600713722,0.394031722,0.839713722,1.007595722,0.782525722,0.036706722,A
18,0.000774824,0.690016824,0.466602824,1.403199824,1.195396824,1.371545824,0.092569824,0.398536824,1.119860824,K
19,-0.678425196,0.168764804,-0.489613196,0.465186804,-0.401843196,2.444357804,0.900459804,-1.111891196,0.272078804,K
20,0.099118826,-1.906979174,0.272184826,0.099220826,-0.250529174,0.983973826,1.819824826,0.334253826,-0.111209174,E
21,-0.400214852,-0.158889852,0.168681148,-1.768169852,-1.059593852,-2.195034852,-2.420888852,-0.236985852,-0.978587852,A
22,0.293573121,-0.297767879,0.447183121,-2.043689879,-1.651889879,-0.491152879,-1.126008879,0.254145121,-1.669496879,F
23,0.216868926,-0.151643074,0.084653926,0.356108926,0.373421926,0.226655926,0.001905926,0.384411926,0.230919926,A
24,-0.204904832,-0.064212832,-0.209188832,-0.223428832,0.585728168,0.314841168,0.660416168,0.022919168,0.430280168,A
25,0.006877063,0.093170063,-0.554884937,-0.844751937,-0.077868937,-0.308138937,-0.636989937,-0.191459937,0.049966063,F
26,0.355175211,0.691054211,0.353159211,0.269986211,-1.047158789,1.142567211,0.914724211,0.368121211,-0.841480789,H
27,0.209174792,0.207403792,0.441560792,0.717243792,0.443147792,0.098797792,0.632514792,0.725939792,0.200854792,F
28,0.219223476,0.576891476,0.375541476,1.584815476,1.803270476,0.846846476,0.683255476,1.168741476,1.426186476,E
29,-0.087716708,0.613022292,-0.309477708,1.172752292,-1.192661708,0.685400292,0.964418292,-4.243254708,-1.611315708,L
30,-0.202453133,-0.241878133,0.326052867,-0.579438133,-0.969570133,0.379011867,0.102070867,-0.252664133,-0.791181133,G
31,0.437611661,0.512406661,0.076665661,-0.039532339,-0.503455339,0.657887661,0.594518661,0.753280661,-0.514467339,A
32,0.221150956,0.054523956,-1.837919044,-0.425826044,-0.104894044,0.267324956,0.936305956,0.260940956,-0.070317044,A
33,0.407500156,0.349655156,0.054362156,-0.911371844,-0.744547844,-1.017704844,-1.736016844,0.485760156,-0.667717844,A
34,-0.010257256,-0.357414256,-0.034692256,2.749593744,1.601885744,0.084648744,1.458060744,0.178378744,1.451471744,A
35,-0.460597522,0.177179478,-0.635207522,-0.012802522,-0.980837522,0.648378478,0.659868478,-0.414933522,-0.717929522,E
36,0.447075203,0.534853203,1.082183203,0.485273203,0.484631203,0.472480203,0.979268203,0.684367203,0.516046203,A
37,0.466216009,-2.874603991,1.206660009,0.398417009,0.194040009,0.961274009,1.310421009,0.933605009,0.007266009,A
38,0.201384883,0.823882883,-0.334424117,-0.930770117,-0.446787117,-0.459846117,-1.288442117,0.236142883,-0.223353117,E
39,0.039413221,-0.076594779,0.001412221,-1.624698779,0.112916221,-0.200251779,0.745343221,-0.095047779,0.133667221,F
40,0.256934377,-0.055315623,0.059597377,-1.654196623,0.485328377,-0.461509623,-0.028478623,0.099942377,0.426418377,A
41,-0.322370349,0.442608651,-0.531699349,0.690037651,1.415432651,-0.174813349,-0.901039349,0.501552651,1.074882651,E
42,0.530203495,0.353943495,0.679496495,-0.420880505,-0.791301505,0.951842495,0.869210495,-0.006449505,-0.442107505,G
43,0.041946755,-3.131290245,0.377575755,-0.058703245,0.636162755,0.728656755,1.451549755,-0.273955245,0.947918755,A
44,0.354818334,0.527103334,0.203629334,-0.359476666,-0.383117666,-1.134037666,-1.658678666,0.254513334,-0.178395666,F
45,0.139818041,0.094092041,-0.001425959,-1.158904959,0.309850041,-0.127790959,-0.828713959,0.888357041,-0.216169959,A
46,-0.37919573,-0.52698673,-0.15352773,-1.35457373,-1.20018173,-2.30459173,-1.66675073,-0.66825273,-0.88329573,F
47,0.003325098,0.290883098,-0.189342902,-0.097406902,-0.697578902,-0.637779902,0.235926098,0.015553098,-0.534470902,F
48,-3.213872503,0.424530497,-0.281104503,-5.155195503,-1.351852503,1.502724497,-0.769466503,-1.495668503,-0.160642503,I
49,-2.736462366,-3.139446366,0.533555634,-2.262421366,-3.392790366,-1.953993366,0.579376634,0.140256634,-3.006001366,A
50,0.070120018,0.390739018,-0.138206982,0.508856018,1.365766018,0.045507018,-0.297322982,0.621759018,1.078234018,A
51,-0.301749723,0.282474277,-1.071915723,-0.101001723,0.033195277,0.551280277,-0.523265723,0.410359277,-0.131294723,D
52,0.436228721,0.075017721,-0.472251279,-0.910651279,-1.510370279,0.523295721,-0.399440279,-1.291781279,-0.625919279,I
53,0.22606798,0.57720898,-0.28409402,-0.26778202,-0.46920702,-1.07441102,-1.15842302,0.11557598,-0.35034502,A
54,-0.064237547,0.636726453,-0.077287547,1.008025453,2.047288453,0.145682453,-0.811665547,-1.505339547,3.504121453,L
55,0.457374123,0.651619123,0.114355123,0.713556123,-0.354624877,0.141714123,0.814447123,0.698260123,-0.365255877,F
56,-0.204537581,-2.565878581,-0.384905581,-0.462760581,-0.522731581,-0.046624581,0.271927419,-0.002120581,-0.544794581,A
57,-0.145401058,-0.004709058,-0.149685058,-0.163925058,0.686756942,0.000167942,-0.025865058,0.082422942,0.523199942,A
58,-0.56317336,-0.06388936,-1.00585836,0.31415864,0.30374364,0.02221064,-1.01472536,0.25056164,-0.00999036,E
59,0.069089107,0.108112107,0.290264107,1.267631107,0.439979107,-0.153669893,1.187554107,0.031941107,0.509641107,A
60,0.160901869,-2.846634131,-0.115774131,-0.523746131,0.554207869,0.209707869,0.207890869,0.395318869,0.673156869,D
